customer_id,customer_name,customer_gender,customer_age,education_level,kids_home,teens_home,total_children,year_first_transaction,years_tenure,distinct_stores_visited,number_complaints,typical_hour,time_of_day,lifetime_total_distinct_products,percentage_of_products_bought_promotion,lifetime_spend_groceries,lifetime_spend_vegetables,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_meat_fish,lifetime_spend_electronics_videogames,lifetime_spend_electronics,lifetime_spend_videogames,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_hygiene,lifetime_spend_petfood,total_spend,perc_spend_vegetables,perc_spend_meat_fish,perc_spend_petfood,perc_spend_tech_entertainment,perc_spend_groceries,perc_spend_alcohol,perc_spend_hygiene,latitude,longitude,is_customer_outlier
3,Crystal Kitchens,female,56,Bsc,1,1,2,2020,6,3,1,10,Morning,189,0.631598739079086,11731.0,373.0,28.0,213.0,241.0,4809.0,4553.0,256.0,323.0,177.0,552.0,384.0,18590.0,0.02006455083377081,0.012963959117798298,0.020656266810101853,0.2586874663796349,0.6310381925763147,0.009521247982781322,0.02969338353952141,38.79442787189893,-9.21573941941328,0
4,Glenda Bauman,female,51,Bsc,1,0,1,2013,13,2,0,10,Morning,130,0.1498902493395143,13694.0,2012.0,43.0,15.0,58.0,1296.0,963.0,333.0,533.0,95.0,1880.0,665.0,20233.0,0.09944150644981,0.002866604062668479,0.03286709830473342,0.06405377353824739,0.6768151040376232,0.00469529975781906,0.09291751099684034,38.75171109471023,-9.17961146619482,0
5,Antonio Campbell,male,55,Msc,0,0,0,2005,21,2,1,11,Morning,81,0.0691255069323915,12407.0,555.0,1265.0,273.0,1538.0,101.0,0.0,101.0,101.0,118.0,507.0,222.0,15549.0,0.03569361373719487,0.09891311338343371,0.014277445494877947,0.006495594571994021,0.7979291272745527,0.007588912470250441,0.0326065984950591,38.7806775225494,-9.16065569234224,0
7,John Kelling,male,44,Unknown,0,0,0,2021,5,1,2,18,Evening,92,0.253609260797035,7493.0,84.0,972.0,1083.0,2055.0,2761.0,1105.0,1656.0,757.0,1133.0,485.0,184.0,14952.0,0.00561797752808613,0.13743980738353567,0.012306046013902951,0.18465757089340243,0.5011369716422545,0.07577581594430459,0.032437132156211586,38.7395484361888,-9.14867873262084,0
8,Arthur Dematteo,male,57,Unknown,0,0,0,2021,5,1,3,17,Afternoon,6,0.1865687348395157,9187.0,380.0,1068.0,1015.0,2083.0,12099.0,10841.0,1258.0,592.0,718.0,297.0,441.0,25797.0,0.014730395007165666,0.08074582315770022,0.017095011047789627,0.4690080241886774,0.3561266813969236,0.027832693724065653,0.011512966624021586,38.733071481512525,-9.18818784180837,0
9,Nadine Garcia,female,58,Msc,1,1,2,2011,15,6,1,6,Morning,84,0.1506456602849799,16530.0,1708.0,27.0,76.0,103.0,1381.0,1156.0,225.0,406.0,363.0,513.0,0.0,21004.0,0.08131784422010982,0.004903827842313415,0.0,0.06574938107024102,0.7869929537227256,0.017282422395725916,0.024423919253463898,38.73557687527516,-9.172423167155566,0
10,Franklin Alba,male,55,Phd,2,1,3,2014,12,1,0,9,Morning,202,0.2754122773297123,22240.0,1284.0,1397.0,1723.0,3120.0,203.0,0.0,203.0,538.0,1970.0,886.0,119.0,30360.0,0.04229249011856314,0.10276679841893847,0.003919631093542846,0.006686429512514266,0.7325428194990999,0.06488801054016308,0.02918313570486522,38.73032247703208,-9.144022385203078,0
11,Robert Hansing,male,49,Bsc,1,1,2,2017,9,6,1,10,Morning,180,0.1642509924715683,29765.0,190.0,871.0,731.0,1602.0,3392.0,1543.0,1849.0,411.0,641.0,1240.0,397.0,37638.0,0.005048089696581899,0.04256336681012739,0.01054785057654218,0.09012168553055686,0.7908231043092644,0.017030660502678936,0.03294542749348187,38.739327834608034,-9.225046721736746,0
12,Dorothy Pacheco,female,26,Phd,0,0,0,2018,8,2,0,18,Evening,29,0.0,9281.0,125.0,139.0,598.0,737.0,325.0,254.0,71.0,60.0,1549.0,673.0,64.0,12814.0,0.009754955517395227,0.05751521773056226,0.004994537224906356,0.025362884345227592,0.7242859372555608,0.12088340877156166,0.052520680505655906,38.74861570702996,-9.167756169633098,0
14,Arron Burgener,male,78,Msc,1,0,1,2017,9,3,1,12,Afternoon,57,0.1973528031772604,7981.0,1659.0,148.0,24.0,172.0,2329.0,2151.0,178.0,799.0,125.0,1393.0,90.0,14548.0,0.1140362936485331,0.011822930987069134,0.0061864173769547795,0.1600907341214187,0.5485977453941788,0.008592246356881638,0.09575199340108898,38.78881949407391,-9.184157680069834,0
