customer_id,customer_name,customer_gender,customer_age,education_level,kids_home,teens_home,total_children,has_children,year_first_transaction,distinct_stores_visited,number_complaints,typical_hour,time_of_day,hour_sin,hour_cos,lifetime_total_distinct_products,percentage_of_products_bought_promotion,lifetime_spend_groceries,lifetime_spend_vegetables,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_electronics,lifetime_spend_videogames,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_hygiene,lifetime_spend_petfood,latitude,longitude,total_trips,total_items_bought,average_basket_size,max_basket_size,min_basket_size,unique_products_bought
3,Crystal Kitchens,female,56,Bsc,1,1,2,1,2020,3,1,12,Afternoon,1.2246467991473532e-16,-1.0,189,0.631598739079086,11731.0,373.0,28.0,213.0,4553.0,256.0,323.0,177.0,552.0,384.0,38.79442787189893,-9.21573941941328,2,21,10.5,11,10,21
4,Glenda Bauman,female,51,Bsc,1,0,1,1,2013,2,0,11,Morning,0.258819045102521,-0.9659258262890682,130,0.1498902493395143,13694.0,2012.0,43.0,15.0,963.0,333.0,533.0,95.0,1880.0,665.0,38.75171109471023,-9.17961146619482,2,24,12.0,12,12,20
5,Antonio Campbell,male,55,Msc,0,0,0,0,2005,2,1,11,Morning,0.258819045102521,-0.9659258262890682,81,0.0691255069323915,12407.0,555.0,1265.0,273.0,0.0,101.0,101.0,118.0,507.0,222.0,38.7806775225494,-9.16065569234224,1,8,8.0,8,8,8
7,John Kelling,male,44,Unknown,0,0,0,0,2021,1,2,18,Evening,-1.0,-1.8369701987210297e-16,92,0.253609260797035,7493.0,84.0,972.0,1083.0,1105.0,1656.0,757.0,1133.0,485.0,184.0,38.7395484361888,-9.14867873262084,1,4,4.0,4,4,4
9,Nadine Garcia,female,58,Msc,1,1,2,1,2011,6,1,6,Morning,1.0,6.123233995736766e-17,84,0.1506456602849799,16530.0,1708.0,27.0,76.0,1156.0,225.0,406.0,363.0,513.0,0.0,38.73557687527516,-9.172423167155566,2,20,10.0,14,6,20
10,Franklin Alba,male,55,Phd,2,1,3,1,2014,1,0,9,Morning,0.7071067811865476,-0.7071067811865475,202,0.2754122773297123,22240.0,1284.0,1397.0,1723.0,0.0,203.0,538.0,1970.0,886.0,119.0,38.73032247703208,-9.144022385203078,9,66,7.33,12,3,46
14,Arron Burgener,male,78,Msc,1,0,1,1,2017,3,1,12,Afternoon,1.2246467991473532e-16,-1.0,57,0.1973528031772604,7981.0,1659.0,148.0,24.0,2151.0,178.0,799.0,125.0,1393.0,90.0,38.78881949407391,-9.184157680069834,6,61,10.17,17,4,48
15,Henry Thompson,male,77,Bsc,0,1,1,1,2014,3,0,7,Morning,0.9659258262890683,-0.25881904510252063,154,0.1113161982340499,7237.0,1807.0,304.0,176.0,591.0,153.0,507.0,42.0,2312.0,441.0,38.760359275134725,-9.07835954778907,5,32,6.4,12,2,29
16,Charlene Baird,female,26,Bsc,0,0,0,0,2021,7,1,15,Afternoon,-0.7071067811865471,-0.7071067811865479,37,1.0,11107.0,620.0,1094.0,487.0,108.0,89.0,162.0,182.0,607.0,683.0,38.78541245732896,-9.152032204165351,3,34,11.33,13,10,33
18,Bruno Goldbeck,male,29,Unknown,0,1,1,1,2018,1,2,20,Evening,-0.8660254037844386,0.5000000000000001,134,0.4091402734153587,10490.0,104.0,1249.0,737.0,13672.0,667.0,574.0,705.0,205.0,550.0,38.74600841010293,-9.15622923060766,8,75,9.38,14,2,49
19,Evelyn Quinn,female,79,Phd,1,2,3,1,2007,3,3,19,Evening,-0.9659258262890684,0.2588190451025203,65,0.15752860209996297,8264.0,266.0,1024.0,1405.0,1660.0,168.0,399.0,514.0,819.0,533.0,38.78699922945693,-9.135196125512602,7,71,10.14,14,7,59
20,Arlene Hernandez,female,81,Msc,1,0,1,1,2017,5,1,20,Evening,-0.8660254037844386,0.5000000000000001,253,0.4308490612060748,35044.0,395.0,1000.0,910.0,78.0,285.0,567.0,621.0,1560.0,255.0,38.75274681712484,-9.135250341406646,3,19,6.33,8,5,19
22,James Kolodziej,male,83,Bsc,1,1,2,1,2019,3,1,14,Afternoon,-0.4999999999999997,-0.8660254037844388,205,0.0320563109521218,15333.0,1325.0,117.0,150.0,883.0,100.0,551.0,257.0,2057.0,473.0,38.75658242562309,-9.15436602277348,15,158,10.53,17,5,107
24,Linda Bryant,female,60,Phd,1,1,2,1,2012,2,0,17,Afternoon,-0.9659258262890683,-0.25881904510252063,139,0.06604019219305868,20270.0,2118.0,40.0,53.0,1816.0,238.0,507.0,408.0,890.0,342.0,38.74710885689428,-9.186784838800778,9,79,8.78,15,3,59
25,Tom Fisher,male,25,Phd,0,0,0,0,2020,2,0,8,Morning,0.8660254037844387,-0.4999999999999998,61,0.6532370294994334,8829.0,0.0,1028.0,758.0,345.0,475.0,121.0,1657.0,91.0,44.0,38.70758994916797,-9.161818002552854,3,31,10.33,13,8,28
26,Jeffery Brown,male,35,Bsc,2,1,3,1,2019,4,1,11,Morning,0.258819045102521,-0.9659258262890682,126,0.2331716143295922,71986.0,126.0,532.0,920.0,3650.0,268.0,721.0,739.0,1101.0,499.0,38.727745834323656,-9.185483625264848,4,50,12.5,16,11,39
27,Edna Christy,female,38,Phd,1,0,1,1,2016,2,0,22,Evening,-0.5000000000000004,0.8660254037844384,16,0.5625619630219125,12067.0,0.0,811.0,157.0,274.0,52.0,125.0,177.0,243.0,210.0,38.777746595386375,-9.167540842777818,3,27,9.0,13,6,24
28,Arthur Doyle,male,35,Msc,2,1,3,1,2020,1,2,12,Afternoon,1.2246467991473532e-16,-1.0,35,0.6308553294317327,9842.0,311.0,422.0,566.0,2173.0,782.0,193.0,691.0,485.0,301.0,38.74813760378645,-9.156526394540954,3,21,7.0,10,5,20
29,Debra Mcleod,female,67,Phd,1,0,1,1,2011,5,0,14,Afternoon,-0.4999999999999997,-0.8660254037844388,127,0.5897405207838152,10232.0,338.0,438.0,821.0,2309.0,225.0,280.0,595.0,1067.0,454.0,38.72716384639924,-9.2052703305056,2,12,6.0,6,6,11
30,Melissa Earing,female,46,Phd,1,0,1,1,2008,1,1,9,Morning,0.7071067811865476,-0.7071067811865475,73,0.07496651114438702,8793.0,2219.0,42.0,0.0,3285.0,162.0,477.0,281.0,613.0,47.0,38.754215503038,-9.17366872422114,4,36,9.0,14,3,35
31,Cruz Pope,female,54,Unknown,0,0,0,0,2016,2,1,23,Evening,-0.25881904510252157,0.9659258262890681,54,0.3058264810330052,6520.0,292.0,653.0,882.0,3754.0,1151.0,473.0,913.0,589.0,546.0,38.73353626643542,-9.167613813757033,3,25,8.33,10,6,21
34,Ruth Snoddy,female,69,Bsc,0,1,1,1,2010,1,1,9,Morning,0.7071067811865476,-0.7071067811865475,60,0.08498813180235548,13396.0,439.0,696.0,523.0,1321.0,1359.0,326.0,5.0,670.0,765.0,38.75980720441785,-9.155894766799689,1,6,6.0,6,6,6
35,Thomas King,male,47,Bsc,0,1,1,1,2011,2,0,8,Morning,0.8660254037844387,-0.4999999999999998,212,0.12751243160396067,37795.0,636.0,890.0,844.0,2130.0,42.0,102.0,310.0,842.0,524.0,38.76203648175096,-9.158846685096057,3,32,10.67,16,5,30
36,Shantae Worley,female,54,Bsc,4,0,4,1,2006,3,0,14,Afternoon,-0.4999999999999997,-0.8660254037844388,305,0.11657960065862488,32925.0,1083.0,1300.0,956.0,5770.0,372.0,759.0,1737.0,1451.0,327.0,38.76021401470984,-9.194390645605838,5,29,5.8,11,3,24
37,Alonzo Crossan,male,26,Phd,1,1,2,1,2020,5,0,7,Morning,0.9659258262890683,-0.25881904510252063,330,0.4748222153170782,25539.0,907.0,1153.0,962.0,1089.0,344.0,1681.0,896.0,1205.0,329.0,38.72970010948747,-9.196584989123338,6,54,9.0,11,6,40
38,Vanessa Wells,female,48,Bsc,1,0,1,1,2014,6,1,13,Afternoon,-0.2588190451025208,-0.9659258262890683,151,0.061568864771488374,8371.0,218.0,493.0,1512.0,205.0,94.0,379.0,316.0,249.0,328.0,38.71247116480576,-9.129835005121535,1,13,13.0,13,13,13
39,Dawn Cannon,female,39,Phd,1,1,2,1,2007,4,1,14,Afternoon,-0.4999999999999997,-0.8660254037844388,302,0.4942214328019912,37097.0,283.0,1243.0,680.0,2598.0,263.0,246.0,706.0,2369.0,359.0,38.77949960090595,-9.152015004454716,5,36,7.2,16,4,36
40,Madge Bell,female,67,Bsc,1,2,3,1,2009,7,0,10,Morning,0.49999999999999994,-0.8660254037844387,266,0.2274411335550715,26555.0,1327.0,1773.0,1429.0,7141.0,0.0,379.0,1838.0,1428.0,380.0,38.745229204961255,-9.116639572490518,7,58,8.29,14,3,44
41,Marion Davis,female,80,Bsc,1,1,2,1,2013,6,1,17,Afternoon,-0.9659258262890683,-0.25881904510252063,91,0.1269068530725506,1806.0,1963.0,55.0,47.0,1248.0,126.0,398.0,325.0,595.0,199.0,38.759760815806594,-9.122087512242429,2,16,8.0,13,3,16
42,Bonny Correa,female,36,Bsc,2,0,2,1,2014,1,2,11,Morning,0.258819045102521,-0.9659258262890682,42,0.4197566063956281,8496.0,284.0,446.0,633.0,1068.0,171.0,17.0,668.0,381.0,268.0,38.74815657274145,-9.156340480297294,5,31,6.2,12,3,25
44,Sylvia Jones,female,85,Msc,2,1,3,1,2016,3,0,8,Morning,0.8660254037844387,-0.4999999999999998,84,0.2426026354063847,10440.0,1966.0,368.0,266.0,3659.0,95.0,956.0,304.0,1635.0,271.0,38.74198055776764,-9.090553284872955,7,72,10.29,16,3,61
46,Jane Dixon,female,71,Phd,1,1,2,1,2019,4,1,12,Afternoon,1.2246467991473532e-16,-1.0,32,0.08996053828615641,16221.0,2009.0,0.0,87.0,1325.0,80.0,439.0,177.0,2111.0,436.0,38.75784856755827,-9.06704702651029,6,63,10.5,16,8,51
48,Kayla Blankenship,female,33,Phd,2,0,2,1,2016,2,2,6,Morning,1.0,6.123233995736766e-17,87,0.8021778732399719,9339.0,88.0,507.0,467.0,300.0,137.0,244.0,1033.0,316.0,370.0,38.7480290416654,-9.15656587813829,6,57,9.5,13,6,39
49,Archie Mickel,male,29,Phd,4,4,8,1,2025,3,1,8,Morning,0.8660254037844387,-0.4999999999999998,329,0.1829629326719151,29112.0,1508.0,1341.0,0.0,5704.0,606.0,963.0,1549.0,887.0,64.0,38.7496666360259,-9.14014091211847,2,11,5.5,9,2,11
50,Doloris Atwell,female,66,Phd,0,1,1,1,2018,5,1,14,Afternoon,-0.4999999999999997,-0.8660254037844388,128,0.09411416738782091,33106.0,514.0,794.0,1271.0,2893.0,307.0,790.0,452.0,825.0,410.0,38.80364972655259,-9.057216682624029,6,64,10.67,14,7,51
52,Felipe Belliveau,male,49,Unknown,1,0,1,1,2016,1,1,20,Evening,-0.8660254037844386,0.5000000000000001,37,0.2335421656467491,10551.0,39.0,697.0,433.0,19339.0,1835.0,487.0,1363.0,540.0,5.0,38.76338275574757,-9.175977632749976,6,52,8.67,11,5,30
53,Salvatore Blackmon,male,54,Msc,0,0,0,0,2014,4,1,11,Morning,0.258819045102521,-0.9659258262890682,98,1.0,10375.0,95.0,486.0,734.0,454.0,0.0,94.0,170.0,39.0,43.0,38.716659620636335,-9.126962821404986,1,10,10.0,10,10,10
